Easting,Northing,Lat,Long,Severity_of_casualty,Casualty_Class,Sex,Age,Date,Day,Hour,Local_authority,Vehicle_type,Pedestrian_Locality
539860,180800,51.50882861,0.013961845,Serious,Driver_or_rider,Male,30,29/04/2014,Tuesday,16,Newham,Motorcycle_over_500cc,Not_a_pedestrian
539910,183410,51.53227,0.015717401,Serious,Pedestrian,Female,14,06/06/2014,Friday,18,Newham,Car,"In_carriageway,_crossing_elsewhere"
542710,185000,51.54585648,0.0567008,Serious,Pedestrian,Female,29,28/02/2014,Friday,8,Newham,Car,"In_carriageway,_crossing_elsewhere"
539050,184540,51.5426366,0.00377307,Serious,Driver_or_rider,Male,58,08/06/2014,Sunday,13,Newham,Pedal_cycle,Not_a_pedestrian
541160,181760,51.517132,0.03306584,Serious,Driver_or_rider,Male,20,03/06/2014,Tuesday,17,Newham,Motorcycle_over_125cc_and_up_to_500cc,Not_a_pedestrian
542950,183650,51.53366515,0.059611924,Serious,Pedestrian,Male,15,20/06/2014,Friday,15,Newham,Car,"In_carriageway,_crossing_elsewhere"
543700,179980,51.50049747,0.068922429,Serious,Driver_or_rider,Male,unknown,26/07/2014,Saturday,0,Newham,Motorcycle_over_500cc,Not_a_pedestrian
541080,181830,51.51778101,0.03194165,Serious,Pedestrian,Male,30,21/06/2014,Saturday,18,Newham,Car,"In_carriageway,_crossing_elsewhere"
540600,184580,51.54261202,0.026125089,Serious,Driver_or_rider,Male,35,08/08/2014,Friday,21,Newham,M/cycle_over_50_and_up_to_125cc_(from_1999),Not_a_pedestrian
542900,186100,51.55569268,0.059885292,Serious,Pedestrian,Male,3,27/07/2014,Sunday,17,Newham,Car,"In_carriageway,_crossing_elsewhere"
542380,184160,51.53839174,0.051605611,Serious,Driver_or_rider,Female,43,07/07/2014,Monday,19,Newham,Car,Not_a_pedestrian
537940,183140,51.53032827,-0.012770969,Serious,Driver_or_rider,Male,53,05/08/2014,Tuesday,14,Tower_Hamlets,Pedal_cycle,Not_a_pedestrian
542630,185860,51.55360438,0.055896166,Serious,Pedestrian,Female,17,06/08/2014,Wednesday,14,Newham,Car,Crossing_on_pedestrian_crossing_facility
540930,185060,51.5468429,0.031072521,Serious,Pedestrian,Male,88,25/08/2014,Monday,17,Newham,Car,Crossing_elsewhere_within_50m._of_ped_crossing
539260,184960,51.54635891,0.006965326,Serious,Driver_or_rider,Male,57,23/07/2014,Wednesday,7,Newham,Pedal_cycle,Not_a_pedestrian
540840,180290,51.50400246,0.027869967,Serious,Driver_or_rider,Male,51,22/09/2014,Monday,11,Newham,Motorcycle_over_125cc_and_up_to_500cc,Not_a_pedestrian
540370,184350,51.54060254,0.022719066,Serious,Driver_or_rider,Male,16,14/09/2014,Sunday,23,Newham,M/cycle_over_50_and_up_to_125cc_(from_1999),Not_a_pedestrian
540370,184350,51.54060254,0.022719066,Serious,Passenger,Male,14,14/09/2014,Sunday,23,Newham,M/cycle_over_50_and_up_to_125cc_(from_1999),Not_a_pedestrian
543130,183660,51.53370945,0.062209334,Serious,Passenger,Female,23,08/09/2014,Monday,15,Newham,Car,Not_a_pedestrian
542970,186040,51.55513582,0.060869938,Serious,Driver_or_rider,Male,53,08/09/2014,Monday,9,Newham,Pedal_cycle,Not_a_pedestrian
540680,182980,51.52821465,0.026639316,Serious,Pedestrian,Male,14,25/09/2014,Thursday,8,Newham,Motorcycle_over_500cc,"In_carriageway,_crossing_elsewhere"
542150,185080,51.54671651,0.048662678,Serious,Pedestrian,Female,20,25/08/2014,Monday,11,Newham,Car,Crossing_on_pedestrian_crossing_facility
538530,183850,51.53656407,-0.003991779,Serious,Driver_or_rider,Male,22,17/09/2014,Wednesday,8,Newham,Pedal_cycle,Not_a_pedestrian
540830,184510,51.54192565,0.029411483,Serious,Pedestrian,Male,23,23/10/2014,Thursday,22,Newham,Car,"In_carriageway,_crossing_elsewhere"
538260,183490,51.53339524,-0.008023409,Serious,Driver_or_rider,Female,25,31/10/2014,Friday,1,Newham,Car,Not_a_pedestrian
538770,184550,51.54279535,-0.000257957,Serious,Pedestrian,Male,19,24/10/2014,Friday,20,Newham,Car,"In_carriageway,_crossing_elsewhere"
540490,185350,51.54955851,0.024847077,Serious,Driver_or_rider,Male,19,18/10/2014,Saturday,20,Newham,Pedal_cycle,Not_a_pedestrian
539060,184630,51.54344287,0.003952704,Serious,Pedestrian,Male,unknown,25/10/2014,Saturday,0,Newham,Taxi/Private_hire_car,Crossing_elsewhere_within_50m._of_ped_crossing
542700,183600,51.53327904,0.055989799,Serious,Passenger,Female,26,20/11/2014,Thursday,14,Newham,Van/Goods_3.5_tonnes_mgw_or_under,Not_a_pedestrian
542900,182260,51.52118768,0.058328308,Serious,Driver_or_rider,Male,21,05/12/2014,Friday,15,Newham,M/cycle_over_50_and_up_to_125cc_(from_1999),Not_a_pedestrian
542900,182260,51.52118768,0.058328308,Serious,Driver_or_rider,Female,unknown,07/11/2014,Friday,19,Newham,Car,Not_a_pedestrian
547400,186730,51.5601963,0.12501196,Serious,Pedestrian,Male,9,17/01/2014,Friday,17,Barking_and_Dagenham,Car,"In_carriageway,_crossing_elsewhere"
548730,186180,51.55490613,0.143951957,Serious,Passenger,Female,76,30/01/2014,Thursday,11,Barking_and_Dagenham,Bus_or_coach_(17_or_more_pass_seats),Not_a_pedestrian
546640,185480,51.54916266,0.113535682,Serious,Pedestrian,Male,51,17/02/2014,Monday,6,Barking_and_Dagenham,Car,Crossing_on_pedestrian_crossing_facility
549720,184540,51.53990893,0.157524486,Serious,Driver_or_rider,Male,25,17/02/2014,Monday,21,Barking_and_Dagenham,Pedal_cycle,Not_a_pedestrian
548940,186200,51.55503056,0.146987262,Serious,Pedestrian,Female,23,11/01/2014,Saturday,3,Barking_and_Dagenham,Van/Goods_3.5_tonnes_mgw_or_under,"In_carriageway,_crossing_elsewhere"
548960,184460,51.53939094,0.146539927,Serious,Pedestrian,Female,10,11/01/2014,Saturday,16,Barking_and_Dagenham,Car,"In_carriageway,_crossing_elsewhere"
